Airline,Flight,To,Status,Scheduled,Updated,Term-Gate
AeroMexico,5399,"Atlanta, GA (ATL)",In Air,7:15 AM,7:12 AM,Term TB - 46
Delta Air Lines,2389,"Atlanta, GA (ATL)",In Air,7:15 AM,7:12 AM,Term TB - 46
Virgin Atlantic,4495,"Atlanta, GA (ATL)",In Air,7:15 AM,7:12 AM,Term TB - 46
United Airlines,475,"Atlanta, GA (ATL)",In Air,7:20 AM,7:14 AM,Term C - C101
FedEx Air,421,"Memphis, TN (MEM)",In Air,7:00 AM,7:15 AM,
AeroMexico,4044,"Detroit, MI (DTW)",In Air,7:20 AM,7:17 AM,Term TB - 42
Delta Air Lines,2392,"Detroit, MI (DTW)",In Air,7:20 AM,7:17 AM,Term TB - 42
Jet Airways,8409,"Detroit, MI (DTW)",In Air,7:20 AM,7:17 AM,Term TB - 42
United Airlines,699,"Fort Lauderdale, FL (FLL)",In Air,7:23 AM,7:17 AM,Term C - C82
Virgin Atlantic,3134,"Detroit, MI (DTW)",In Air,7:20 AM,7:17 AM,Term TB - 42
JetBlue Airways,1289,San Juan (SJU),In Air,7:24 AM,7:19 AM,Term TA - 16
Alaska Airlines,1183,"San Francisco, CA (SFO)",In Air,7:30 AM,7:20 AM,Term A - A32
China Eastern Airlines,8025,"San Francisco, CA (SFO)",In Air,7:30 AM,7:20 AM,Term A - A32
China Southern Airlines,1963,"San Francisco, CA (SFO)",In Air,7:30 AM,7:20 AM,Term A - A32
Singapore Airlines,1421,"San Francisco, CA (SFO)",In Air,7:30 AM,7:20 AM,Term A - A32
Virgin America,183,"San Francisco, CA (SFO)",In Air,7:30 AM,7:20 AM,Term A - A32
Copa Airlines,1358,"Manchester, NH (MHT)",Arrived,7:24 AM,7:21 AM,Term A - A28
United Airlines,4847,"Manchester, NH (MHT)",Arrived,7:24 AM,7:21 AM,Term A - A28
Air Canada,2783,"Portland, ME (PWM)",Arrived,7:35 AM,7:28 AM,Term A - A26
Copa Airlines,1370,"Portland, ME (PWM)",Arrived,7:35 AM,7:28 AM,Term A - A26
United Airlines,4977,"Portland, ME (PWM)",Arrived,7:35 AM,7:28 AM,Term A - A26
United Airlines,1778,Vancouver (YVR),In Air,7:30 AM,7:31 AM,Term C - C70
Air Canada,2896,Toronto (YYZ),In Air,7:25 AM,7:35 AM,Term A - A20A
United Airlines,4199,Toronto (YYZ),In Air,7:25 AM,7:35 AM,Term A - A20A
United Airlines,4870,"Providence, RI (PVD)",In Air,7:35 AM,7:35 AM,Term C - C130X
Air New Zealand,9129,"San Francisco, CA (SFO)",In Air,7:50 AM,7:44 AM,Term C - C136
Azul Airlines,7038,"San Francisco, CA (SFO)",In Air,7:50 AM,7:44 AM,Term C - C136
United Airlines,2380,"San Francisco, CA (SFO)",In Air,7:50 AM,7:44 AM,Term C - C136
United Airlines,3577,Montreal (YUL),In Air,7:45 AM,7:45 AM,Term C - C84
United Airlines,4426,"Burlington, VT (BTV)",In Air,7:51 AM,7:45 AM,Term A - A20
Wiggins Airways,8310,"Boston, MA (BOS)",No Takeoff Info - Call Airline,7:45 AM,7:45 AM,
Wiggins Airways,8304,"Hartford, CT (BDL)",No Takeoff Info - Call Airline,7:45 AM,7:45 AM,
Azul Airlines,7044,"Boston, MA (BOS)",In Air,7:35 AM,7:46 AM,Term C - C86
United Airlines,1464,"Boston, MA (BOS)",In Air,7:35 AM,7:46 AM,Term C - C86
United Airlines,508,"Houston, TX (IAH)",In Air,7:56 AM,7:46 AM,Term C - C73
United Airlines,1048,Cancun (CUN),In Air,7:55 AM,7:47 AM,Term C - C132
United Airlines,1486,"Cleveland, OH (CLE)",In Air,7:55 AM,7:48 AM,Term C - C127
United Airlines,4893,"St Louis, MO (STL)",In Air,7:55 AM,7:48 AM,Term A - A25A
Air Canada,3013,"Charleston, SC (CHS)",In Air,8:03 AM,7:52 AM,Term A - A24
Porter Airlines,120,Toronto (YTZ),In Air,7:55 AM,7:52 AM,Term B - B51
Southwest Airlines,931,"St Louis, MO (STL)",In Air,7:50 AM,7:52 AM,Term TA - A15
United Airlines,3954,"Charleston, SC (CHS)",In Air,8:03 AM,7:52 AM,Term A - A24
United Airlines,366,"Fort Myers, FL (RSW)",In Air,8:00 AM,7:53 AM,Term C - C112
United Airlines,1939,"Orlando, FL (MCO)",In Air,8:00 AM,7:53 AM,Term C - C83
Alaska Airlines,1161,"Los Angeles, CA (LAX)",In Air,8:00 AM,7:58 AM,Term A - A31
China Airlines,9609,"Los Angeles, CA (LAX)",In Air,8:00 AM,7:58 AM,Term A - A31
China Eastern Airlines,8057,"Los Angeles, CA (LAX)",In Air,8:00 AM,7:58 AM,Term A - A31
FedEx Air,453,"Memphis, TN (MEM)",In Air,8:00 AM,7:58 AM,
Hawaiian Airlines,2583,"Los Angeles, CA (LAX)",In Air,8:00 AM,7:58 AM,Term A - A31
Singapore Airlines,1420,"Los Angeles, CA (LAX)",In Air,8:00 AM,7:58 AM,Term A - A31
Virgin America,161,"Los Angeles, CA (LAX)",In Air,8:00 AM,7:58 AM,Term A - A31
Virgin Australia,5267,"Los Angeles, CA (LAX)",In Air,8:00 AM,7:58 AM,Term A - A31
Air New Zealand,9537,"Los Angeles, CA (LAX)",In Air,8:05 AM,8:00 AM,Term C - C80
All Nippon Airways,7229,"Los Angeles, CA (LAX)",In Air,8:05 AM,8:00 AM,Term C - C80
Asiana Airlines,6265,"Los Angeles, CA (LAX)",In Air,8:05 AM,8:00 AM,Term C - C80
Azul Airlines,7040,"Los Angeles, CA (LAX)",In Air,8:05 AM,8:00 AM,Term C - C80
United Airlines,703,"Los Angeles, CA (LAX)",In Air,8:05 AM,8:00 AM,Term C - C80
United Airlines,4885,"Richmond, VA (RIC)",Departed,8:10 AM,8:00 AM,Term C - C130W
American Airlines,885,"Charlotte, NC (CLT)",In Air,8:10 AM,8:01 AM,Term A - A36
Air New Zealand,9123,"San Francisco, CA (SFO)",In Air,8:05 AM,8:03 AM,Term C - C121
All Nippon Airways,7007,"San Francisco, CA (SFO)",In Air,8:05 AM,8:03 AM,Term C - C121
Azul Airlines,7036,"San Francisco, CA (SFO)",In Air,8:05 AM,8:03 AM,Term C - C121
United Airlines,497,"San Francisco, CA (SFO)",In Air,8:05 AM,8:03 AM,Term C - C121
United Airlines,4160,"Buffalo, NY (BUF)",Departed,8:04 AM,8:07 AM,Term A - A22
United Airlines,3602,"Fayetteville/Springdale/, AR (XNA)",In Air,8:14 AM,8:07 AM,Term C - C87
United Airlines,4116,"Washington, DC (DCA)",In Air,8:15 AM,8:08 AM,Term A - A26X
United Airlines,282,"Denver, CO (DEN)",Departed,7:59 AM,8:14 AM,Term C - C96
Air Canada,3161,"Greenville, SC (GSP)",In Air,8:25 AM,8:15 AM,Term A - A25
Mountain Air Cargo,8313,"Washington, DC (IAD)",Scheduled,8:15 AM,8:15 AM,
United Airlines,3556,"Cincinnati, OH (CVG)",Departed,8:20 AM,8:15 AM,Term C - C99
United Airlines,4279,"Greenville, SC (GSP)",In Air,8:25 AM,8:15 AM,Term A - A25
El Al Israel Airlines,8765,"Fort Lauderdale, FL (FLL)",Departed,8:19 AM,8:16 AM,Term TA - 18
JetBlue Airways,5,"Fort Lauderdale, FL (FLL)",Departed,8:19 AM,8:16 AM,Term TA - 18
United Airlines,3890,"Syracuse, NY (SYR)",Departed,8:25 AM,8:20 AM,Term A - A27
Air Canada,2262,San Juan (SJU),Departed,8:25 AM,8:21 AM,Term C - C74
Scandinavian Airlines,6894,San Juan (SJU),Departed,8:25 AM,8:21 AM,Term C - C74
United Airlines,1523,San Juan (SJU),Departed,8:25 AM,8:21 AM,Term C - C74
Air Canada,2883,"Memphis, TN (MEM)",Departed,8:26 AM,8:22 AM,Term C - C85
United Airlines,3615,"Memphis, TN (MEM)",Departed,8:26 AM,8:22 AM,Term C - C85
United Airlines,4292,Halifax (YHZ),Departed,8:27 AM,8:22 AM,Term A - A26A
Delta Air Lines,1993,"Minneapolis, MN (MSP)",Departed,8:30 AM,8:23 AM,Term TB - 45
Jet Airways,8410,"Minneapolis, MN (MSP)",Departed,8:30 AM,8:23 AM,Term TB - 45
Virgin Atlantic,4477,"Minneapolis, MN (MSP)",Departed,8:30 AM,8:23 AM,Term TB - 45
United Airlines,3589,"Omaha, NE (OMA)",Departed,8:30 AM,8:24 AM,Term C - C115
Air Canada,2488,London (LHR),Departed,8:35 AM,8:27 AM,Term C - C108
Austrian Airlines,7792,London (LHR),Departed,8:35 AM,8:27 AM,Term C - C108
Lufthansa,7624,London (LHR),Departed,8:35 AM,8:27 AM,Term C - C108
United Airlines,934,London (LHR),Departed,8:35 AM,8:27 AM,Term C - C108
Air Canada,5953,"Chicago, IL (ORD)",Departed,8:30 AM,8:28 AM,Term C - C125
Air Canada,5944,"Myrtle Beach, SC (MYR)",Departed,8:37 AM,8:28 AM,Term C - C135
All Nippon Airways,7469,"Chicago, IL (ORD)",Departed,8:30 AM,8:28 AM,Term C - C125
Scandinavian Airlines,6882,"Chicago, IL (ORD)",Departed,8:30 AM,8:28 AM,Term C - C125
United Airlines,977,"Chicago, IL (ORD)",Departed,8:30 AM,8:28 AM,Term C - C125
United Airlines,574,"Myrtle Beach, SC (MYR)",Departed,8:37 AM,8:28 AM,Term C - C135
Air Canada,3220,"Norfolk, VA (ORF)",Departed,8:39 AM,8:30 AM,Term A - A26
Scandinavian Airlines,6868,"Austin, TX (AUS)",Departed,8:30 AM,8:30 AM,Term C - C105
United Airlines,1692,"Austin, TX (AUS)",Departed,8:30 AM,8:30 AM,Term C - C105
United Airlines,4277,"Norfolk, VA (ORF)",Departed,8:39 AM,8:30 AM,Term A - A26
Air Canada,7651,Toronto (YYZ),Departed,8:35 AM,8:32 AM,Term A - A12
United Airlines,8563,Toronto (YYZ),Departed,8:35 AM,8:32 AM,Term A - A12
United Airlines,1549,"Nashville, TN (BNA)",Departed,8:40 AM,8:32 AM,Term C - C97
United Airlines,3884,"Dayton, OH (DAY)",Departed,8:26 AM,8:33 AM,Term A - A24A
El Al Israel Airlines,8763,"Boston, MA (BOS)",Scheduled,8:34 AM,8:34 AM,Term TA - 16A
Japan Airlines,5479,"Boston, MA (BOS)",Scheduled,8:34 AM,8:34 AM,Term TA - 16A
JetBlue Airways,2280,"Boston, MA (BOS)",Scheduled,8:34 AM,8:34 AM,Term TA - 16A
