Airline,Flight,To,Status,Scheduled,Updated,Term-Gate
United Airlines,8573,Toronto (YYZ),Scheduled,10:10 AM,,Term B - A6
WestJet Airlines,6808,"St Louis, MO (STL)",Scheduled,10:10 AM,,Term C - C24
Avianca,2237,"Washington, DC (IAD)",Scheduled,10:12 AM,10:12 AM,Term B - C10
United Airlines,6260,"Washington, DC (IAD)",Scheduled,10:12 AM,10:12 AM,Term B - C10
Delta Air Lines,5967,"Chicago, IL (ORD)",Scheduled,10:15 AM,,Term A - SH3
Delta Air Lines,3289,"West Palm Beach, FL (PBI)",Scheduled,10:23 AM,,Term D - D06
WestJet Airlines,6722,"West Palm Beach, FL (PBI)",Scheduled,10:23 AM,,Term D - D06
Delta Air Lines,5340,"Memphis, TN (MEM)",Scheduled,10:25 AM,,Term D - D10
WestJet Airlines,6678,"Memphis, TN (MEM)",Scheduled,10:25 AM,,Term D - D10
Air New Zealand,6682,"Houston, TX (IAH)",Scheduled,10:29 AM,10:29 AM,Term B - C11
American Airlines,3423,"Columbus, OH (CMH)",Scheduled,10:29 AM,,Term B - C2
American Airlines,4779,"Philadelphia, PA (PHL)",Scheduled,10:29 AM,10:29 AM,Term B - C1
United Airlines,1973,"Houston, TX (IAH)",Scheduled,10:29 AM,10:29 AM,Term B - C11
Alaska Airlines,6399,"Chicago, IL (ORD)",Scheduled,10:30 AM,,Term B - D8
American Airlines,328,"Chicago, IL (ORD)",Scheduled,10:30 AM,,Term B - D8
American Airlines,3736,"Raleigh/Durham, NC (RDU)",Scheduled,10:30 AM,,Term B - C3
British Airways,6579,"Chicago, IL (ORD)",Scheduled,10:30 AM,,Term B - D8
Delta Air Lines,3876,"Burlington, VT (BTV)",Scheduled,10:30 AM,,Term C - C13
Delta Air Lines,5614,Montreal (YUL),Scheduled,10:30 AM,,Term C - C30
