Airline,Flight,To,Status,Scheduled,Updated,Term-Gate
GOL Transportes Aereos,8158,"San Francisco, CA (SFO)",Scheduled,11:45 AM,,Term 4 - B38
KLM Royal Dutch Airlines,5249,"Atlanta, GA (ATL)",Scheduled,11:45 AM,,Term 4 - B34
Virgin Atlantic,4819,"San Francisco, CA (SFO)",Scheduled,11:45 AM,,Term 4 - B38
Virgin Atlantic,4737,"Atlanta, GA (ATL)",Scheduled,11:45 AM,,Term 4 - B34
WestJet Airlines,7647,"Atlanta, GA (ATL)",Scheduled,11:45 AM,,Term 4 - B34
JetBlue Airways,1338,"Vineyard Haven, MA (MVY)",Scheduled,11:52 AM,11:52 AM,Term 5 - 01
Qatar Airways,4281,"Vineyard Haven, MA (MVY)",Scheduled,11:52 AM,11:52 AM,Term 5 - 01
Aerolineas Argentinas,7028,"Washington, DC (DCA)",Scheduled,11:55 AM,,Term 4 - B43
Alaska Airlines,1025,"San Francisco, CA (SFO)",Scheduled,11:55 AM,,Term T4 - A2
China Southern Airlines,1977,"San Francisco, CA (SFO)",Scheduled,11:55 AM,,Term T4 - A2
Delta Air Lines,4010,"Washington, DC (DCA)",Scheduled,11:55 AM,,Term 4 - B43
Virgin America,25,"San Francisco, CA (SFO)",Scheduled,11:55 AM,,Term T4 - A2
Virgin Atlantic,3150,"Washington, DC (DCA)",Scheduled,11:55 AM,,Term 4 - B43
WestJet Airlines,6846,"Washington, DC (DCA)",Scheduled,11:55 AM,,Term 4 - B43
Delta Air Lines,4070,Toronto (YYZ),Scheduled,11:57 AM,,Term 4 - B44
GOL Transportes Aereos,8360,Toronto (YYZ),Scheduled,11:57 AM,,Term 4 - B44
Korean Air,7382,Toronto (YYZ),Scheduled,11:57 AM,,Term 4 - B44
Virgin Atlantic,4719,Toronto (YYZ),Scheduled,11:57 AM,,Term 4 - B44
WestJet Airlines,6339,Toronto (YYZ),Scheduled,11:57 AM,,Term 4 - B44
Etihad Airways,8276,"Los Angeles, CA (LAX)",Scheduled,11:59 AM,11:59 AM,Term 5 - 29
Hawaiian Airlines,2309,"Los Angeles, CA (LAX)",Scheduled,11:59 AM,11:59 AM,Term 5 - 29
JetBlue Airways,523,"Los Angeles, CA (LAX)",Scheduled,11:59 AM,11:59 AM,Term 5 - 29
Air Tahiti Nui,1103,"Los Angeles, CA (LAX)",Scheduled,12:00 PM,,Term 8 - 39
All Nippon Airways,9,Tokyo (NRT),Scheduled,12:00 PM,12:00 PM,Term 7
American Airlines,3,"Los Angeles, CA (LAX)",Scheduled,12:00 PM,,Term 8 - 39
British Airways,2524,"Los Angeles, CA (LAX)",Scheduled,12:00 PM,,Term 8 - 39
Delta Air Lines,2571,San Juan (SJU),Scheduled,12:00 PM,,Term 2 - C64
Etihad Airways,3102,"Los Angeles, CA (LAX)",Scheduled,12:00 PM,,Term 8 - 39
Qantas Airways,3094,"Los Angeles, CA (LAX)",Scheduled,12:00 PM,,Term 8 - 39
TAM Brazilian Airlines,7814,"Los Angeles, CA (LAX)",Scheduled,12:00 PM,,Term 8 - 39
Thai Airways,6097,Tokyo (NRT),Scheduled,12:00 PM,12:00 PM,Term 7
United Airlines,7998,Tokyo (NRT),Scheduled,12:00 PM,12:00 PM,Term 7
Virgin Atlantic,3161,San Juan (SJU),Scheduled,12:00 PM,,Term 2 - C64
Delta Air Lines,487,Santo Domingo (SDQ),Scheduled,12:19 PM,,Term 4 - B26
American Airlines,4641,"Raleigh/Durham, NC (RDU)",Scheduled,12:20 PM,12:20 PM,Term 8 - 31A
Emirates,6851,Santo Domingo (SDQ),Scheduled,12:20 PM,12:20 PM,Term 5 - 26
Etihad Airways,3453,"Raleigh/Durham, NC (RDU)",Scheduled,12:20 PM,12:20 PM,Term 8 - 31A
Japan Airlines,7478,"Raleigh/Durham, NC (RDU)",Scheduled,12:20 PM,12:20 PM,Term 8 - 31A
JetBlue Airways,409,Santo Domingo (SDQ),Scheduled,12:20 PM,12:20 PM,Term 5 - 26
Qantas Airways,4638,"Raleigh/Durham, NC (RDU)",Scheduled,12:20 PM,12:20 PM,Term 8 - 31A
Qatar Airways,5466,"Raleigh/Durham, NC (RDU)",Scheduled,12:20 PM,12:20 PM,Term 8 - 31A
TAM Brazilian Airlines,2129,"Raleigh/Durham, NC (RDU)",Scheduled,12:20 PM,12:20 PM,Term 8 - 31A
China Eastern Airlines,4382,"Los Angeles, CA (LAX)",Scheduled,12:21 PM,,Term 4 - B30
Delta Air Lines,423,"Los Angeles, CA (LAX)",Scheduled,12:21 PM,,Term 4 - B30
Virgin Atlantic,4727,"Los Angeles, CA (LAX)",Scheduled,12:21 PM,,Term 4 - B30
Virgin Australia,6566,"Los Angeles, CA (LAX)",Scheduled,12:21 PM,,Term 4 - B30
Avianca,6624,Istanbul (IST),Scheduled,12:25 PM,12:35 PM,Term 1
Interjet,2991,Mexico City (MEX),Scheduled,12:25 PM,12:25 PM,Term 7
Singapore Airlines,6202,Istanbul (IST),Scheduled,12:25 PM,12:35 PM,Term 1
Turkish Airlines,4,Istanbul (IST),Scheduled,12:25 PM,12:35 PM,Term 1
Aer Lingus,5018,"Boston, MA (BOS)",Scheduled,12:29 PM,12:29 PM,Term 5 - 03
Emirates,6705,"Boston, MA (BOS)",Scheduled,12:29 PM,12:29 PM,Term 5 - 03
Etihad Airways,8273,"Boston, MA (BOS)",Scheduled,12:29 PM,12:29 PM,Term 5 - 03
Hawaiian Airlines,2004,"Boston, MA (BOS)",Scheduled,12:29 PM,12:29 PM,Term 5 - 03
JetBlue Airways,1318,"Boston, MA (BOS)",Scheduled,12:29 PM,12:29 PM,Term 5 - 03
South African Airways,7336,"Boston, MA (BOS)",Scheduled,12:29 PM,12:29 PM,Term 5 - 03
El Al Israel Airlines,8653,"Washington, DC (IAD)",Scheduled,12:40 PM,12:40 PM,Term 5 - 07
Emirates,6733,"Washington, DC (IAD)",Scheduled,12:40 PM,12:40 PM,Term 5 - 07
Etihad Airways,8289,"Washington, DC (IAD)",Scheduled,12:40 PM,12:40 PM,Term 5 - 07
Hawaiian Airlines,2128,"Washington, DC (IAD)",Scheduled,12:40 PM,12:40 PM,Term 5 - 07
JetBlue Airways,1407,"Washington, DC (IAD)",Scheduled,12:40 PM,12:40 PM,Term 5 - 07
South African Airways,7343,"Washington, DC (IAD)",Scheduled,12:40 PM,12:40 PM,Term 5 - 07
El Al Israel Airlines,8698,"Portland, ME (PWM)",Scheduled,12:41 PM,12:41 PM,Term 5 - 20
Emirates,6755,"Portland, ME (PWM)",Scheduled,12:41 PM,12:41 PM,Term 5 - 20
Etihad Airways,8297,"Portland, ME (PWM)",Scheduled,12:41 PM,12:41 PM,Term 5 - 20
Hawaiian Airlines,2058,"Portland, ME (PWM)",Scheduled,12:41 PM,12:41 PM,Term 5 - 20
JetBlue Airways,208,"Portland, ME (PWM)",Scheduled,12:41 PM,12:41 PM,Term 5 - 20
Qatar Airways,4125,"Portland, ME (PWM)",Scheduled,12:41 PM,12:41 PM,Term 5 - 20
Air China,990,Beijing (PEK),Scheduled,12:50 PM,,Term 1
Air France,2755,"Detroit, MI (DTW)",Scheduled,12:50 PM,,Term 4 - B46
China Southern Airlines,1078,"Detroit, MI (DTW)",Scheduled,12:50 PM,,Term 4 - B46
Delta Air Lines,4007,"Detroit, MI (DTW)",Scheduled,12:50 PM,,Term 4 - B46
El Al Israel Airlines,8605,"Austin, TX (AUS)",Scheduled,12:50 PM,12:50 PM,Term 5 - 18
Emirates,6773,"Austin, TX (AUS)",Scheduled,12:50 PM,12:50 PM,Term 5 - 18
Etihad Airways,8255,"Austin, TX (AUS)",Scheduled,12:50 PM,12:50 PM,Term 5 - 18
JetBlue Airways,795,"Austin, TX (AUS)",Scheduled,12:50 PM,12:50 PM,Term 5 - 18
KLM Royal Dutch Airlines,5109,"Detroit, MI (DTW)",Scheduled,12:50 PM,,Term 4 - B46
South African Airways,7352,"Austin, TX (AUS)",Scheduled,12:50 PM,12:50 PM,Term 5 - 18
Virgin Atlantic,4625,"Detroit, MI (DTW)",Scheduled,12:50 PM,,Term 4 - B46
Air France,5999,"Buffalo, NY (BUF)",Delayed,12:52 PM,1:17 PM,Term 4 - B48
Alitalia,5855,"Buffalo, NY (BUF)",Delayed,12:52 PM,1:17 PM,Term 4 - B48
Delta Air Lines,4031,"Buffalo, NY (BUF)",Delayed,12:52 PM,1:17 PM,Term 4 - B48
Virgin Atlantic,5995,"Buffalo, NY (BUF)",Delayed,12:52 PM,1:17 PM,Term 4 - B48
WestJet Airlines,7670,"Buffalo, NY (BUF)",Delayed,12:52 PM,1:17 PM,Term 4 - B48
Emirates,6127,"San Francisco, CA (SFO)",Scheduled,12:55 PM,12:55 PM,Term 5 - 17
Etihad Airways,8358,"San Francisco, CA (SFO)",Scheduled,12:55 PM,12:55 PM,Term 5 - 17
JetBlue Airways,615,"San Francisco, CA (SFO)",Scheduled,12:55 PM,12:55 PM,Term 5 - 17
Etihad Airways,8372,"Buffalo, NY (BUF)",Scheduled,12:56 PM,12:56 PM,Term 5 - 23
Hawaiian Airlines,2020,"Buffalo, NY (BUF)",Scheduled,12:56 PM,12:56 PM,Term 5 - 23
Japan Airlines,5820,"Buffalo, NY (BUF)",Scheduled,12:56 PM,12:56 PM,Term 5 - 23
JetBlue Airways,2302,"Buffalo, NY (BUF)",Scheduled,12:56 PM,12:56 PM,Term 5 - 23
Qatar Airways,4169,"Buffalo, NY (BUF)",Scheduled,12:56 PM,12:56 PM,Term 5 - 23
Turkish Airlines,8933,"Buffalo, NY (BUF)",Scheduled,12:56 PM,12:56 PM,Term 5 - 23
American Airlines,1236,"Miami, FL (MIA)",Scheduled,12:59 PM,,Term 8 - 35
American Airlines,1397,"Charlotte, NC (CLT)",Scheduled,12:59 PM,,Term 8 - 40
British Airways,1687,"Miami, FL (MIA)",Scheduled,12:59 PM,,Term 8 - 35
